"","Pic_File_Name","DateTime","Date","Time","GageHeight_cm","Notes","Baro_pressure_psi","Temp_C","Pressure_psi","Pressure_psia"
"1","10_Jun_19",2019-06-10 11:15:00,"6/10/2019",11:14:00,22.5,NA,13.894,19.31,14.392,0.497999999999999
"2","24_Jun_19",2019-06-24 13:00:00,"6/24/2019",12:56:00,15,NA,13.85,20.38,14.244,0.394
"3","R_Script",2019-06-27 15:45:00,"6/27/2019",15:49:00,14.9,NA,13.984,22.38,14.371,0.387
"4","8_Jul_19",2019-07-08 13:45:00,"7/8/2019",13:48:00,12,NA,13.904,21.94,14.202,0.298
"5","22_Jul_19",2019-07-22 14:15:00,"7/22/2019",14:19:00,10,NA,13.887,21.25,14.186,0.298999999999999
"6","12_Aug_19",2019-08-12 13:30:00,"8/12/2019",13:21:00,12.5,NA,13.924,21,14.25,0.326000000000001
"7","28_Aug_19",2019-08-28 16:30:00,"8/28/2019",16:24:00,10,NA,13.874,20,14.16,0.286
"8","27_Sep_19",2019-09-27 15:00:00,"9/27/2019",14:53:00,8,NA,13.929,18.75,14.209,0.279999999999999
"9","30_Oct_19",2019-10-30 13:00:00,"10/30/2019",12:56:00,9,NA,13.978,14.19,14.277,0.298999999999999
"10","6_Dec_19",2019-12-06 12:30:00,"12/6/2019",12:26:00,13.5,"Weir_obstructed_by_leaves_and_branches",13.95,5.13,14.306,0.356
"11","29_Feb_20",2020-02-29 11:30:00,"2/29/2020",11:30:00,10.5,"No_data_as_of_02_Mar_2020",13.888,2.88,14.209,0.321
"12","24_Mar_20",2020-03-24 12:45:00,"3/24/2020",12:45:00,10.5,"No_time_associated_with_picture",13.924,12,14.25,0.326000000000001
"13","30_Mar_20",2020-03-30 17:30:00,"3/30/2020",17:33:00,10.5,NA,13.836,14.81,14.164,0.327999999999999
"14","20_Apr_20",2020-04-20 14:00:00,"4/20/2020",14:00:00,25,"Noted_erosion_on_side_of_weir_Obstructed_by_branches_No_time_associated_with_picture",13.724,13.75,14.243,0.519
"15","22_Apr_20",2020-04-22 12:30:00,"4/22/2020",12:33:00,22.2,"Erosion_on_side_of_weir_Shored_up_side_of_weir",13.894,13.13,14.376,0.481999999999999
"16","11_May_20",2020-05-11 15:00:00,"5/11/2020",15:02:00,21,NA,13.906,12.31,14.379,0.472999999999999
"17","18_May_20",2020-05-18 12:30:00,"5/18/2020",12:29:00,20,"No_data_from_WVWA",NA,NA,NA,NA
"18","25_May_20",2020-05-25 13:45:00,"5/25/2020",13:48:00,30,"Weir_topped",NA,NA,NA,NA
"19","12_Jun_20",2020-06-12 13:15:00,"6/12/2020",13:15:00,28.5,"Weir_topped",NA,NA,NA,NA
"20","06_Jul_20",2020-07-06 15:10:00,"7/6/2020",15:10:00,28,"Weir_topped",NA,NA,NA,NA
"21","10_Aug_20",2020-08-10 12:00:00,"8/10/2020",NA,NA,"Weir_completely_washed_out_No_water",NA,NA,NA,NA
"22","13_Aug_20",2020-08-13 12:00:00,"8/13/2020",NA,NA,"Sensors_removed_from_weir",NA,NA,NA,NA
"23","24_Aug_20",2020-08-24 16:00:00,"8/24/2020",15:46:00,12,"Sensors_Moved_Post_Construction",13.923,21.94,14.172,0.249000000000001
"24","02_Sep_20_PreMove",2020-09-02 13:00:00,"9/2/2020",13:00:00,14.5,NA,13.862,21,14.156,0.294
"25","02_Sep_20_PostMove",2020-09-02 15:00:00,"9/2/2020",15:00:00,14.5,"Sensors_Moved",13.845,22.06,14.045,0.199999999999999
"26","09_Sep_20",2020-09-09 14:00:00,"9/9/2020",14:00:00,10,"No_time_associated_with_picture",14,20.31,14.14,0.140000000000001
"27","13_Sep_20",2020-09-13 12:00:00,"9/13/2020",12:00:00,10.2,"No_time_associated_with_picture",13.964,18.56,14.104,0.139999999999999
"28","15_Sep_20",2020-09-15 15:00:00,"9/15/2020",15:00:00,10,"No_time_associated_with_picture",14.016,16.44,14.144,0.128
"29","16_Sep_20",2020-09-16 16:00:00,"9/16/2020",16:00:00,10,"No_time_associated_with_picture",13.963,15.88,14.093,0.130000000000001
"30","30_Sep_20",2020-09-30 13:30:00,"9/30/2020",13:22:00,12.8,"No_time_associated_with_picture",13.855,14.13,14.016,0.161
"31","05_Oct_20",2020-10-05 15:45:00,"10/5/2020",15:37:00,10,"No_time_associated_with_picture",13.967,13.56,14.084,0.116999999999999
"32","19_Oct_20",2020-10-19 16:30:00,"10/19/2020",16:30:00,10,"No_time_associated_with_picture",13.993,14.44,14.115,0.122
"33","02_Nov_20",2020-11-02 13:15:00,"11/2/2020",13:08:00,15,NA,13.974,7.88,14.159,0.185
"34","09_Nov_20",2020-11-09 13:15:00,"11/9/2020",13:14:00,11.3,"No_time_associated_with_picture",14.034,17,14.173,0.138999999999999
"35","27_Dec_20",2020-12-27 13:15:00,"12/27/2020",13:15:00,23,"Weir_obstructed_by_branches_No_time_associated_with_picture",13.976,3.81,14.253,0.276999999999999
"36","07_Jan_21",2021-01-07 09:00:00,"1/7/2021",10:30:00,20,NA,13.975,3.25,14.23,0.255000000000001
